epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,413.11,1.17845,0.86475,1.06105,0.78041,0.6846,0.75811,0.46857,1.31301,1.16922,1.10082,0.000848969,0.000848969,0.000848969
43,424.278,1.16936,0.8564,1.02991,0.77012,0.68873,0.72345,0.46029,1.33332,1.2813,1.1098,0.000834822,0.000834822,0.000834822
44,437.385,1.18518,0.85569,1.0419,0.83006,0.69882,0.76153,0.45614,1.40254,1.17833,1.1175,0.000820675,0.000820675,0.000820675
45,451.157,1.21236,0.88345,1.06344,0.80369,0.75025,0.78982,0.47681,1.36496,1.11691,1.12124,0.000806528,0.000806528,0.000806528
46,465.005,1.15284,0.84598,1.04202,0.7641,0.67474,0.73918,0.45834,1.31294,1.1802,1.11111,0.00079238,0.00079238,0.00079238
47,475.656,1.18989,0.84595,1.05305,0.74644,0.77363,0.78055,0.47479,1.3471,1.11263,1.10396,0.000778233,0.000778233,0.000778233
48,486.456,1.20569,0.89138,1.04434,0.8086,0.72945,0.77362,0.47961,1.32616,1.13641,1.09904,0.000764086,0.000764086,0.000764086
49,498.977,1.12684,0.83754,1.02057,0.73544,0.67918,0.72754,0.44787,1.36134,1.27186,1.10299,0.000749939,0.000749939,0.000749939
50,509.765,1.12292,0.80931,1.0248,0.75694,0.64423,0.72326,0.43183,1.38082,1.32417,1.09659,0.000735792,0.000735792,0.000735792
51,520.042,1.10217,0.77381,1.00619,0.78622,0.75431,0.76877,0.46084,1.36416,1.13858,1.12877,0.000721645,0.000721645,0.000721645
52,530.53,1.15508,0.79513,1.02835,0.80629,0.72545,0.77209,0.48663,1.33744,1.13057,1.11421,0.000707498,0.000707498,0.000707498
53,541.053,1.1137,0.79539,1.027,0.72347,0.74154,0.76624,0.46434,1.39415,1.17593,1.12615,0.000693351,0.000693351,0.000693351
54,551.176,1.1308,0.77156,1.01268,0.75967,0.65908,0.72564,0.45474,1.3385,1.2289,1.13174,0.000679204,0.000679204,0.000679204
55,561.557,1.12267,0.79845,1.03226,0.79801,0.77286,0.807,0.50618,1.3177,1.07603,1.10038,0.000665057,0.000665057,0.000665057
56,571.891,1.10507,0.76093,1.00748,0.84712,0.7228,0.80513,0.48683,1.44224,1.10075,1.13498,0.000650909,0.000650909,0.000650909
57,582.324,1.09527,0.77727,1.02979,0.78974,0.71491,0.76452,0.47766,1.3437,1.11963,1.10258,0.000636762,0.000636762,0.000636762
